13,518.9011425539925,0.001,38.45368027687073
26,293.78790845752866,0.001,75.29104948043823
39,211.97482690444923,0.001,113.38157677650452
53,169.17417980711454,0.001,152.32333183288574
66,142.56055981660373,0.001,190.45774579048157
79,124.35282556082704,0.001,228.56419563293457
93,110.97946226761312,0.001,267.5439302921295
106,100.64842780629095,0.001,305.6315596103668
119,92.43510347498616,0.001,343.6845417022705
133,85.7181329067428,0.001,382.5976982116699
146,80.12609428115437,0.001,420.7243618965149
159,75.36845961852639,0.001,458.85369539260864
159,75.35374139809291,0.001,460.6112334728241
