<built-in function round>,2.0796137714385985,0.25534,2.0051387548446655,0.2897
<built-in function round>,1.915670828819275,0.31,1.8310127019882203,0.34
<built-in function round>,1.8092542505264282,0.33774,1.7328008890151978,0.3675
<built-in function round>,1.7558324599266053,0.356,1.681713342666626,0.3844
<built-in function round>,1.7191492891311646,0.36516,1.6466972351074218,0.3997
<built-in function round>,1.6583289456367494,0.3856,1.5913309931755066,0.4112
<built-in function round>,1.6673966836929321,0.3842,1.6149429202079773,0.4038
<built-in function round>,1.580073091983795,0.41878,1.5324822664260864,0.4373
<built-in function round>,1.558698923587799,0.42796,1.5025593757629394,0.4478
<built-in function round>,1.5464122128486633,0.43436,1.4937695741653443,0.4509
<built-in function round>,1.5353484010696412,0.43454,1.4832534909248352,0.4554
<built-in function round>,1.5324363684654236,0.43558,1.474870777130127,0.4617
<built-in function round>,1.5188789677619934,0.44328,1.4695306301116944,0.4651
<built-in function round>,1.5125364398956298,0.4457,1.4583971858024598,0.469
<built-in function round>,1.5006435441970825,0.45012,1.4548471331596375,0.4685
<built-in function round>,1.5017294955253602,0.45106,1.4520396947860719,0.4697
<built-in function round>,1.4986000847816467,0.45042,1.4493854641914368,0.4719
<built-in function round>,1.4973361539840697,0.45382,1.4479573607444762,0.4725
<built-in function round>,1.4945139479637146,0.4523,1.4469320893287658,0.4717
<built-in function round>,1.4950767636299134,0.45212,1.4466720700263977,0.4721
<built-in function round>,1.4957805967330933,0.45298,1.4466551423072815,0.4721
<built-in function round>,1.493959708213806,0.45268,1.4466390490531922,0.4725
<built-in function round>,1.4946913170814513,0.45334,1.4466196417808532,0.4723
<built-in function round>,1.494144744873047,0.45376,1.4466413974761962,0.4724
<built-in function round>,1.4920793342590333,0.45382,1.4466278791427611,0.4725
